instance,algo,param_set,seed,HV,IGD,time,evals
S,NSGA2,1,1,21578.80441674673,0.626252283142368,12.534773588180542,48000
S,NSGA2,1,2,13313.230414932652,0.8827223506660613,12.504555225372314,48000
S,NSGA2,1,3,34258.01994150514,0.2576030869065507,12.527613878250122,48000
S,NSGA2,1,4,27155.84078138539,0.4574902322251452,12.460564613342283,48000
S,NSGA2,1,5,23509.453041060773,0.6798439767012,12.461288213729858,48000
S,NSGA2,1,6,28571.41563937256,0.4288126980228478,12.555370092391968,48000
S,NSGA2,1,7,13588.086890368202,0.8468377224528058,12.589889526367188,48000
S,NSGA2,1,8,22013.66861639253,0.6334863167868473,12.464844465255736,48000
S,NSGA2,1,9,29599.00157230838,0.3148360457562698,12.451236963272097,48000
S,NSGA2,1,10,22122.77085415029,0.6043974381230439,12.510537385940552,48000
S,NSGA2,1,11,17272.919034699717,0.7306673203516978,12.518621444702148,48000
S,NSGA2,1,12,18491.332031322003,0.8143212279889938,12.499107360839844,48000
S,NSGA2,1,13,25655.04894188352,0.5364861935088513,12.452899932861328,48000
S,NSGA2,1,14,21106.6081095064,0.5807676046242427,12.560341119766235,48000
S,NSGA2,1,15,15392.864984613494,0.8436272660713228,12.498810052871704,48000
S,NSGA2,1,16,37973.45035197445,0.1107166709989147,12.41249656677246,48000
S,NSGA2,1,17,26013.65677972896,0.4240354634779745,12.417761325836182,48000
S,NSGA2,1,18,35305.92737068375,0.2377965344663447,12.455204248428345,48000
S,NSGA2,1,19,29770.21122334094,0.4029331196536952,12.417629957199097,48000
S,NSGA2,1,20,18625.123646612898,0.8071975943255928,12.373368263244627,48000
S,NSGA2,2,1,41837.02736278522,0.59045946348702,13.874227046966553,48000
S,NSGA2,2,2,37050.95336681247,0.6725811475487815,17.341811418533325,48000
S,NSGA2,2,3,26424.837944845065,0.8466336061852137,13.972499132156372,48000
S,NSGA2,2,4,55249.03792392475,0.2197143550164413,13.83475923538208,48000
S,NSGA2,2,5,34683.93274940528,0.6706696049246678,13.79489541053772,48000
S,NSGA2,2,6,43310.66212131848,0.4766334197743778,13.816923379898071,48000
S,NSGA2,2,7,40790.88569430786,0.5884077857337434,13.805996179580688,48000
S,NSGA2,2,8,27581.22610611952,0.7390958726917425,13.84905195236206,48000
S,NSGA2,2,9,35467.21701686756,0.5886604528776784,13.935312509536743,48000
S,NSGA2,2,10,37232.99183529331,0.5861811152279037,13.936986684799194,48000
S,NSGA2,2,11,30186.260367824296,0.7299590512233043,13.897154331207275,48000
S,NSGA2,2,12,31787.37811197751,0.8158788485980522,13.842247486114502,48000
S,NSGA2,2,13,38980.088505709246,0.570849005449626,13.890455961227415,48000
S,NSGA2,2,14,53474.119082783305,0.2544047603575557,13.895331859588625,48000
S,NSGA2,2,15,30895.655862123152,0.8078259384961202,13.861334323883057,48000
S,NSGA2,2,16,34821.982967364536,0.7237179348911089,13.866482257843018,48000
S,NSGA2,2,17,33094.238208334864,0.729359194168598,13.875200748443604,48000
S,NSGA2,2,18,32832.65678886806,0.6804986132186168,13.869224309921265,48000
S,NSGA2,2,19,49344.43041026527,0.3966455024247187,13.864372730255129,48000
S,NSGA2,2,20,43839.4853349333,0.5213219481532126,13.830081462860107,48000
S,NSGA2,3,1,45041.54440390896,0.6339646646316646,19.51690983772278,50000
S,NSGA2,3,2,65258.702322078345,0.0701250160740846,19.48152232170105,50000
S,NSGA2,3,3,55228.97332803744,0.4021878911327929,19.647403717041016,50000
S,NSGA2,3,4,38786.70727256742,0.6519340520285991,19.512555837631226,50000
S,NSGA2,3,5,43137.904874189175,0.6456781759676763,19.586851596832275,50000
S,NSGA2,3,6,37950.99141854454,0.777463146189064,19.56388020515442,50000
S,NSGA2,3,7,51682.005490046286,0.4104378589055678,19.54848885536194,50000
S,NSGA2,3,8,46662.60953577192,0.535800297029818,21.122902631759644,50000
S,NSGA2,3,9,42019.07717318264,0.6590734138632082,20.936875581741333,50000
S,NSGA2,3,10,38730.439663968486,0.793078331747039,21.19586157798767,50000
S,NSGA2,3,11,34783.998418354066,0.945549626411085,19.610690116882324,50000
S,NSGA2,3,12,48170.54034118002,0.4498758878377119,19.59835529327393,50000
S,NSGA2,3,13,64531.08205345587,0.038726245116434,19.585440397262573,50000
S,NSGA2,3,14,47321.564320325706,0.6487545446185774,19.52073049545288,50000
S,NSGA2,3,15,45723.92266909071,0.5582136642648905,19.63299822807312,50000
S,NSGA2,3,16,45956.677971348974,0.4750788500954926,19.595250129699707,50000
S,NSGA2,3,17,43652.59237459403,0.7220842674995106,19.59641456604004,50000
S,NSGA2,3,18,43642.6231834459,0.6332240754066389,19.65652585029602,50000
S,NSGA2,3,19,47052.72461848412,0.666823697296424,19.58481407165528,50000
S,NSGA2,3,20,37788.01342522262,0.8886565681306895,19.58425521850586,50000
S,SPEA2,1,1,22223.87161489285,0.6335438027623406,9.664503574371338,48000
S,SPEA2,1,2,37109.22185766063,0.1127750895645364,9.627447366714478,48000
S,SPEA2,1,3,29859.76128009468,0.3682018051207072,9.645931482315063,48000
S,SPEA2,1,4,19066.67859733817,0.7528589629214253,9.65102195739746,48000
S,SPEA2,1,5,10189.307322152325,0.9712761968606414,11.06892442703247,48000
S,SPEA2,1,6,34547.71739168586,0.1504178258859138,10.530493021011353,48000
S,SPEA2,1,7,18353.39122871652,0.759179056777075,10.586490631103516,48000
S,SPEA2,1,8,37233.6333978285,0.1206656352064528,10.496659994125366,48000
S,SPEA2,1,9,41126.986516231445,0.0319254658959205,10.465455293655396,48000
S,SPEA2,1,10,37183.67802804855,0.1162811095620921,11.240073919296265,48000
S,SPEA2,1,11,31029.3872439273,0.2168710354244636,10.562782526016235,48000
S,SPEA2,1,12,26625.83557543599,0.5012766728973373,65.37024664878845,48000
S,SPEA2,1,13,27883.120142847834,0.501587858973095,10.000800848007202,48000
S,SPEA2,1,14,41812.97335500849,0.0,9.835519790649414,48000
S,SPEA2,1,15,34813.518267031795,0.1738057843011158,10.010432720184326,48000
S,SPEA2,1,16,23302.34845068109,0.5932442430386272,9.852562189102173,48000
S,SPEA2,1,17,29921.02273502595,0.3966114016850401,9.789442539215088,48000
S,SPEA2,1,18,29965.93346855461,0.395277621270095,9.728238582611084,48000
S,SPEA2,1,19,16356.993762090598,0.7468691979204707,9.686477422714232,48000
S,SPEA2,1,20,33721.780773826446,0.2056093380723611,9.732983350753784,48000
S,SPEA2,2,1,43586.017214839485,0.5693902695617974,9.357890844345093,48000
S,SPEA2,2,2,45511.03726888025,0.4177122883974131,9.285927295684814,48000
S,SPEA2,2,3,36942.3729120756,0.7278835288331998,9.253759860992432,48000
S,SPEA2,2,4,29363.33006467385,0.7441062876218573,9.278306722640991,48000
S,SPEA2,2,5,48128.108177736,0.3392616423157063,9.286128044128418,48000
S,SPEA2,2,6,68855.66877958641,0.0252132915235906,9.285028457641602,48000
S,SPEA2,2,7,31980.68110532888,0.7925780837897854,9.334863662719728,48000
S,SPEA2,2,8,18155.324615373684,0.942679626165174,9.29155683517456,48000
S,SPEA2,2,9,41333.12127345548,0.5353379755662635,9.262996196746826,48000
S,SPEA2,2,10,38473.92358351484,0.5864947224068215,9.269836187362673,48000
S,SPEA2,2,11,25773.73122579567,0.8115285448371781,9.261367797851562,48000
S,SPEA2,2,12,41041.01628440894,0.437400733050461,9.287781953811646,48000
S,SPEA2,2,13,37719.61951412164,0.6392221610549049,9.312166452407835,48000
S,SPEA2,2,14,38954.06912504551,0.5231320884727398,9.280970335006714,48000
S,SPEA2,2,15,40401.24561753166,0.542974430159095,9.327693939208984,48000
S,SPEA2,2,16,43328.17322479028,0.556578299312095,9.267781257629396,48000
S,SPEA2,2,17,38016.47512812543,0.6075726816558177,9.330732345581056,48000
S,SPEA2,2,18,41530.54502510562,0.576791382767582,9.26562237739563,48000
S,SPEA2,2,19,37463.44338875111,0.6734662706015199,10.073310375213625,48000
S,SPEA2,2,20,30499.0450373417,0.8118609238606487,10.022030591964722,48000
S,SPEA2,3,1,50595.17721757281,0.4028938272503923,11.769429206848145,50000
S,SPEA2,3,2,45295.70026010557,0.5099299072897838,11.721580505371094,50000
S,SPEA2,3,3,45925.637367696574,0.5278342525317998,11.85543441772461,50000
S,SPEA2,3,4,45294.180589643634,0.7295987845126481,12.197385787963867,50000
S,SPEA2,3,5,36212.05837788943,0.8845838861885578,12.7055561542511,50000
S,SPEA2,3,6,34604.768691472,0.943752598532732,11.382815837860107,50000
S,SPEA2,3,7,41413.830068380186,0.5836530210450925,10.8582124710083,50000
S,SPEA2,3,8,42955.08260423201,0.7129479676198849,10.895159006118774,50000
S,SPEA2,3,9,45153.42279707225,0.6081237369199716,10.84385895729065,50000
S,SPEA2,3,10,44690.44355874576,0.5262721375462608,10.886739253997805,50000
S,SPEA2,3,11,32640.7701793055,1.0684773556591645,10.843522548675535,50000
S,SPEA2,3,12,46366.72218818297,0.5965289468190631,10.82328486442566,50000
S,SPEA2,3,13,38001.55002677067,0.7610783749325005,10.8184654712677,50000
S,SPEA2,3,14,32543.5669046024,1.0444190871245198,10.869594097137451,50000
S,SPEA2,3,15,35898.7010269754,0.8983180372262488,10.885567903518677,50000
S,SPEA2,3,16,46569.319609557,0.6086101084955399,10.8010733127594,50000
S,SPEA2,3,17,57482.56429316647,0.3129333848379049,10.899149894714355,50000
S,SPEA2,3,18,40209.08525414183,0.7575696248616705,10.843698024749756,50000
S,SPEA2,3,19,34520.916461829016,0.8601725481119695,10.81420373916626,50000
S,SPEA2,3,20,35359.23768048121,0.8996965369962723,10.895153760910034,50000
M,NSGA2,1,1,69313.14219680287,0.0285899564837298,22.51170587539673,48000
M,NSGA2,1,2,36986.038005460825,0.642312763804882,22.338109016418457,48000
M,NSGA2,1,3,18666.4250735861,0.854190279965271,22.47986125946045,48000
M,NSGA2,1,4,19398.115820172818,0.8794252044514057,24.145479917526245,48000
M,NSGA2,1,5,61325.409517077045,0.0665251107075249,24.053984880447388,48000
M,NSGA2,1,6,12222.908618796711,1.0238429616202402,25.49729347229004,48000
M,NSGA2,1,7,17772.370164245003,0.9237887881883988,24.05046319961548,48000
M,NSGA2,1,8,15209.075640492832,0.9808291121103436,24.982399463653564,48000
M,NSGA2,1,9,70821.64654833965,0.0907524056687102,24.51057839393616,48000
M,NSGA2,1,10,30668.71274133297,0.7398231587227566,25.01199722290039,48000
M,NSGA2,1,11,15823.27250714344,0.9038684761764616,24.540780305862427,48000
M,NSGA2,1,12,68057.27123733418,0.0601019591109809,24.290229558944706,48000
M,NSGA2,1,13,28220.12774585333,0.7292218111841768,24.76572823524475,48000
M,NSGA2,1,14,28995.7089155143,0.6803980046920776,24.90191650390625,48000
M,NSGA2,1,15,27179.49931429852,0.7489631167984147,24.672235250473022,48000
M,NSGA2,1,16,15798.384550022049,0.8962884565204003,24.587982654571533,48000
M,NSGA2,1,17,22736.89955665105,0.7771995780644677,24.66567826271057,48000
M,NSGA2,1,18,26050.2894154274,0.7361376022962111,25.77670407295227,48000
M,NSGA2,1,19,19945.91322770098,0.8808735656183571,24.21725368499756,48000
M,NSGA2,1,20,48934.503405532654,0.4136685735262065,25.465556144714355,48000
M,NSGA2,2,1,19542.147235388697,0.8760354500206355,26.081907033920288,48000
M,NSGA2,2,2,25424.366721173723,0.7088399063723351,25.05878257751465,48000
M,NSGA2,2,3,18801.23625410484,0.9319988477776424,25.142893075943,48000
M,NSGA2,2,4,20313.90112310785,0.9250145548273874,24.97866153717041,48000
M,NSGA2,2,5,15288.077593537104,0.885414384770511,24.9138298034668,48000
M,NSGA2,2,6,17595.375816255684,1.0126132719494496,24.98844075202942,48000
